136 103 14008
0 0 115 -67
1 0 115 -67
2 0 115 -67
3 0 115 -67
4 0 115 -68
5 0 116 -68
6 0 116 -68
7 0 116 -68
8 0 117 -69
9 0 117 -69
10 0 117 -69
11 0 117 -70
12 0 117 -70
13 0 117 -70
14 0 117 -70
15 0 118 -71
16 0 118 -71
17 0 118 -72
18 0 119 -72
19 0 119 -72
20 0 119 -72
21 0 120 -72
22 0 120 -73
23 0 121 -73
24 0 121 -73
25 0 122 -73
26 0 122 -74
27 0 122 -74
28 0 122 -74
29 0 123 -74
30 0 123 -74
31 0 123 -74
32 0 124 -74
33 0 124 -74
34 0 124 -75
35 0 124 -75
36 0 123 -75
37 0 123 -75
38 0 123 -75
39 0 123 -75
40 0 122 -75
41 0 122 -75
42 0 122 -75
43 0 121 -74
44 0 121 -74
45 0 121 -74
46 0 120 -74
47 0 120 -74
48 0 119 -74
49 0 119 -74
50 0 119 -74
51 0 118 -74
52 0 118 -74
53 0 118 -75
54 0 118 -75
55 0 117 -75
56 0 117 -74
57 0 117 -74
58 0 117 -74
59 0 117 -74
60 0 117 -74
61 0 116 -74
62 0 116 -74
63 0 116 -74
64 0 116 -74
65 0 116 -74
66 0 115 -74
67 0 115 -74
68 0 115 -74
69 0 115 -74
70 0 115 -74
71 0 114 -74
72 0 114 -73
73 0 114 -73
74 0 114 -73
75 0 114 -73
76 0 114 -73
77 0 114 -73
78 0 114 -73
79 0 114 -72
80 0 114 -72
81 0 113 -73
82 0 113 -73
83 0 113 -73
84 0 113 -73
85 0 113 -73
86 0 112 -73
87 0 112 -73
88 0 112 -73
89 0 112 -74
90 0 112 -74
91 0 112 -74
92 0 112 -74
93 0 111 -75
94 0 111 -75
95 0 111 -75
96 0 111 -76
97 0 110 -76
98 0 110 -76
99 0 110 -77
100 0 109 -77
101 0 109 -77
102 0 108 -77
103 0 108 -78
104 0 108 -78
105 0 108 -78
106 0 107 -78
107 0 107 -78
108 0 107 -78
109 0 107 -78
110 0 107 -78
111 0 107 -78
112 0 107 -78
113 0 107 -78
114 0 107 -78
115 0 107 -78
116 0 107 -78
117 0 108 -78
118 0 108 -78
119 0 108 -78
120 0 108 -78
121 0 108 -78
122 0 109 -78
123 0 109 -77
124 0 109 -77
125 0 109 -77
126 0 109 -77
127 0 109 -77
128 0 109 -77
129 0 109 -76
130 0 109 -76
131 0 109 -76
132 0 109 -76
133 0 109 -76
134 0 109 -76
135 0 109 -76
0 1 91 -94
1 1 91 -94
2 1 91 -94
3 1 91 -94
4 1 91 -95
5 1 92 -95
6 1 92 -95
7 1 92 -96
8 1 93 -96
9 1 93 -96
10 1 93 -96
11 1 93 -97
12 1 93 -97
13 1 93 -97
14 1 93 -98
15 1 94 -98
16 1 94 -98
17 1 94 -99
18 1 94 -99
19 1 95 -99
20 1 95 -99
21 1 96 -100
22 1 96 -100
23 1 97 -100
24 1 97 -100
25 1 97 -100
26 1 98 -101
27 1 98 -101
28 1 98 -101
29 1 99 -101
30 1 99 -101
31 1 99 -101
32 1 99 -102
33 1 99 -102
34 1 99 -102
35 1 99 -102
36 1 99 -102
37 1 99 -102
38 1 99 -102
39 1 98 -102
40 1 98 -102
41 1 98 -102
42 1 98 -102
43 1 97 -102
44 1 97 -102
45 1 97 -102
46 1 96 -102
47 1 96 -102
48 1 96 -102
49 1 95 -102
50 1 95 -102
51 1 95 -102
52 1 94 -102
53 1 94 -102
54 1 94 -102
55 1 93 -102
56 1 93 -102
57 1 93 -102
58 1 93 -102
59 1 93 -102
60 1 93 -102
61 1 92 -102
62 1 92 -102
63 1 92 -102
64 1 92 -102
65 1 92 -102
66 1 91 -101
67 1 91 -101
68 1 91 -101
69 1 91 -101
70 1 91 -101
71 1 91 -101
72 1 90 -101
73 1 90 -101
74 1 90 -100
75 1 90 -100
76 1 90 -100
77 1 90 -100
78 1 90 -100
79 1 90 -100
80 1 90 -100
81 1 89 -100
82 1 89 -100
83 1 89 -100
84 1 89 -100
85 1 89 -100
86 1 88 -100
87 1 88 -101
88 1 88 -101
89 1 88 -101
90 1 88 -101
91 1 88 -101
92 1 88 -102
93 1 87 -102
94 1 87 -103
95 1 87 -103
96 1 87 -103
97 1 86 -103
98 1 86 -104
99 1 86 -104
100 1 85 -104
101 1 85 -104
102 1 84 -105
103 1 84 -105
104 1 84 -105
105 1 84 -105
106 1 83 -105
107 1 83 -106
108 1 83 -106
109 1 83 -106
110 1 83 -106
111 1 83 -106
112 1 83 -106
113 1 83 -106
114 1 83 -106
115 1 83 -106
116 1 84 -106
117 1 84 -106
118 1 84 -105
119 1 84 -105
120 1 84 -105
121 1 85 -105
122 1 85 -105
123 1 85 -105
124 1 85 -105
125 1 85 -105
126 1 85 -104
127 1 85 -104
128 1 85 -104
129 1 85 -104
130 1 85 -104
131 1 85 -104
132 1 85 -104
133 1 85 -103
134 1 85 -103
135 1 85 -103
0 2 -7 287
1 2 -6 286
2 2 -6 286
3 2 -6 286
4 2 -5 286
5 2 -5 286
6 2 -5 286
7 2 -4 286
8 2 -4 286
9 2 -4 285
10 2 -4 285
11 2 -4 285
12 2 -4 285
13 2 -4 285
14 2 -3 285
15 2 -3 285
16 2 -3 284
17 2 -3 284
18 2 -2 283
19 2 -2 283
20 2 -1 283
21 2 -1 283
22 2 -1 283
23 2 0 283
24 2 0 283
25 2 0 283
26 2 0 283
27 2 0 283
28 2 0 282
29 2 0 282
